id,final_status,store_address_id,customer_id,courier_id,vertical,is_food,transport,number_of_assignments,total_real_distance,activation_time_local,last_courier_assigned_time,courier_started_order_local,courier_enters_pickup_time_local,pickup_time_local,courier_enters_delivery_point_time_local,termination_time,Count,Total Time,...20,...21,...22,...23,...24,...25
52888983,DeliveredStatus,50845,17212848,14547214,WALL - Partner,TRUE,BICYCLE,2,4.077,2019-07-12T00:08:13Z,2019-07-12T00:22:52Z,2019-07-12T00:24:19Z,2019-07-12T00:28:29Z,2019-07-12T00:40:36Z,2019-07-12T00:47:18Z,2019-07-12T00:47:32Z,NA,39,NA,NA,NA,NA,NA,NA
53441182,DeliveredStatus,18300,15180213,19521997,WALL - Partner,TRUE,BICYCLE,1,3.86,2019-07-14T21:37:39Z,2019-07-14T21:42:19Z,2019-07-14T21:42:34Z,2019-07-14T21:44:21Z,2019-07-14T21:53:06Z,2019-07-14T22:00:36Z,2019-07-14T22:03:17Z,NA,25,NA,NA,NA,NA,NA,NA
52973355,DeliveredStatus,18296,20496175,8728852,WALL - Partner,TRUE,MOTORBIKE,1,9.194,2019-07-12T16:56:52Z,2019-07-12T17:00:32Z,2019-07-12T17:00:39Z,2019-07-12T17:17:06Z,2019-07-12T17:23:17Z,2019-07-12T17:34:32Z,2019-07-12T17:39:19Z,NA,42,NA,NA,NA,NA,NA,NA
52835807,DeliveredStatus,18300,4555839,15058366,WALL - Partner,TRUE,BICYCLE,1,1.449,2019-07-11T20:04:44Z,2019-07-11T20:09:31Z,2019-07-11T20:09:47Z,2019-07-11T20:07:58Z,2019-07-11T20:27:19Z,2019-07-11T20:31:38Z,2019-07-11T20:34:21Z,NA,29,NA,NA,NA,NA,NA,NA
53439286,DeliveredStatus,15727,19018746,2146758,WALL - Partner,TRUE,MOTORBIKE,1,5.469,2019-07-14T21:33:00Z,2019-07-14T21:43:20Z,2019-07-14T21:45:19Z,2019-07-14T21:51:18Z,2019-07-14T22:06:14Z,2019-07-14T22:14:25Z,2019-07-14T22:15:42Z,NA,42,NA,NA,NA,NA,NA,NA
52846999,DeliveredStatus,18296,18236525,18225713,WALL - Partner,TRUE,CAR,2,6.903,2019-07-11T20:47:03Z,2019-07-11T20:48:13Z,2019-07-11T20:48:27Z,2019-07-11T20:51:40Z,2019-07-11T21:00:19Z,2019-07-11T21:04:45Z,2019-07-11T21:05:46Z,NA,18,NA,NA,NA,NA,NA,NA
52509266,DeliveredStatus,18300,16204751,18830660,WALL - Partner,TRUE,BICYCLE,1,3.558,2019-07-09T19:01:55Z,2019-07-09T19:02:54Z,2019-07-09T19:02:58Z,2019-07-09T19:01:58Z,2019-07-09T19:12:08Z,2019-07-09T19:24:17Z,2019-07-09T19:33:03Z,NA,31,NA,NA,NA,NA,NA,NA
53220389,DeliveredStatus,15927,10716646,16298635,WALL - Partner,TRUE,MOTORBIKE,1,3.329,2019-07-13T21:06:48Z,2019-07-13T21:17:49Z,2019-07-13T21:18:21Z,2019-07-13T21:13:15Z,2019-07-13T21:30:46Z,2019-07-13T21:40:20Z,2019-07-13T21:43:08Z,NA,36,NA,NA,NA,NA,NA,NA
52563920,DeliveredStatus,15927,19229191,19711951,WALL - Partner,TRUE,MOTORBIKE,1,8.625,2019-07-09T23:14:19Z,2019-07-09T23:15:07Z,2019-07-09T23:19:18Z,2019-07-09T23:23:47Z,2019-07-09T23:34:51Z,2019-07-09T23:41:49Z,2019-07-09T23:48:46Z,NA,34,NA,NA,NA,NA,NA,NA
52783019,DeliveredStatus,15727,16640002,6211472,WALL - Partner,TRUE,MOTORBIKE,1,8.709,2019-07-11T14:09:58Z,2019-07-11T14:10:18Z,2019-07-11T14:10:33Z,2019-07-11T14:23:39Z,2019-07-11T14:36:00Z,2019-07-11T14:48:08Z,2019-07-11T14:52:32Z,NA,42,NA,NA,NA,NA,NA,NA
